locus	category	family	chrom	start	end	strand	source	gene_id	transcript_id	repFamily	repName	intModel	l1base_id
L1FLnI_1p33c	L1FLnI	L1FLnI	chr1	46919194	46929353	-	l1base	L1FLnI_1p33c_chr1_46919194_46929353	L1FLnI_1p33c_chr1_46919194_46929353				UID-7122
L1FLnI_1p33d	L1FLnI	L1FLnI	chr1	46972475	46982643	+	l1base	L1FLnI_1p33d_chr1_46972475_46982643	L1FLnI_1p33d_chr1_46972475_46982643				UID-7428
L1FLnI_1p33e	L1FLnI	L1FLnI	chr1	46981854	46991553	+	l1base	L1FLnI_1p33e_chr1_46981854_46991553	L1FLnI_1p33e_chr1_46981854_46991553				UID-7123
L1FLnI_1p33f	L1FLnI	L1FLnI	chr1	47002948	47013068	+	l1base	L1FLnI_1p33f_chr1_47002948_47013068	L1FLnI_1p33f_chr1_47002948_47013068				UID-7081
L1FLnI_1p33g	L1FLnI	L1FLnI	chr1	47162426	47172561	+	l1base	L1FLnI_1p33g_chr1_47162426_47172561	L1FLnI_1p33g_chr1_47162426_47172561				UID-6908
L1FLnI_1p33h	L1FLnI	L1FLnI	chr1	47952742	47962875	+	l1base	L1FLnI_1p33h_chr1_47952742_47962875	L1FLnI_1p33h_chr1_47952742_47962875				UID-7082
L1FLnI_1p33i	L1FLnI	L1FLnI	chr1	48140418	48149370	+	l1base	L1FLnI_1p33i_chr1_48140418_48149370	L1FLnI_1p33i_chr1_48140418_48149370				UID-7546
L1FLnI_1p33j	L1FLnI	L1FLnI	chr1	48146627	48156657	+	l1base	L1FLnI_1p33j_chr1_48146627_48156657	L1FLnI_1p33j_chr1_48146627_48156657				UID-7353
L1FLnI_1p33k	L1FLnI	L1FLnI	chr1	48167454	48177168	-	l1base	L1FLnI_1p33k_chr1_48167454_48177168	L1FLnI_1p33k_chr1_48167454_48177168				UID-7149
L1FLnI_1p33l	L1FLnI	L1FLnI	chr1	48273696	48283843	+	l1base	L1FLnI_1p33l_chr1_48273696_48283843	L1FLnI_1p33l_chr1_48273696_48283843				UID-6764
L1FLnI_1p33m	L1FLnI	L1FLnI	chr1	48308090	48318189	+	l1base	L1FLnI_1p33m_chr1_48308090_48318189	L1FLnI_1p33m_chr1_48308090_48318189				UID-6892
L1FLnI_1p33n	L1FLnI	L1FLnI	chr1	48363305	48373429	-	l1base	L1FLnI_1p33n_chr1_48363305_48373429	L1FLnI_1p33n_chr1_48363305_48373429				UID-6765
L1FLnI_1p33o	L1FLnI	L1FLnI	chr1	49002514	49012544	+	l1base	L1FLnI_1p33o_chr1_49002514_49012544	L1FLnI_1p33o_chr1_49002514_49012544				UID-6731
L1FLnI_1p33p	L1FLnI	L1FLnI	chr1	49067738	49078023	-	l1base	L1FLnI_1p33p_chr1_49067738_49078023	L1FLnI_1p33p_chr1_49067738_49078023				UID-7433
L1FLnI_1p33q	L1FLnI	L1FLnI	chr1	49082004	49092697	+	l1base	L1FLnI_1p33q_chr1_49082004_49092697	L1FLnI_1p33q_chr1_49082004_49092697				UID-7271
L1FLnI_1p33r	L1FLnI	L1FLnI	chr1	49115727	49125848	-	l1base	L1FLnI_1p33r_chr1_49115727_49125848	L1FLnI_1p33r_chr1_49115727_49125848				UID-7434
L1FLnI_1p33s	L1FLnI	L1FLnI	chr1	49254310	49263810	+	l1base	L1FLnI_1p33s_chr1_49254310_49263810	L1FLnI_1p33s_chr1_49254310_49263810				UID-6732
L1FLnI_1p33t	L1FLnI	L1FLnI	chr1	49279009	49288876	+	l1base	L1FLnI_1p33t_chr1_49279009_49288876	L1FLnI_1p33t_chr1_49279009_49288876				UID-7327
L1FLnI_1p33u	L1FLnI	L1FLnI	chr1	49456083	49464992	-	l1base	L1FLnI_1p33u_chr1_49456083_49464992	L1FLnI_1p33u_chr1_49456083_49464992				UID-6941
L1FLnI_1p33v	L1FLnI	L1FLnI	chr1	49547573	49556331	-	l1base	L1FLnI_1p33v_chr1_49547573_49556331	L1FLnI_1p33v_chr1_49547573_49556331				UID-6942
L1FLnI_1p33w	L1FLnI	L1FLnI	chr1	49560815	49570947	-	l1base	L1FLnI_1p33w_chr1_49560815_49570947	L1FLnI_1p33w_chr1_49560815_49570947				UID-6865
L1FLnI_1p33x	L1FLnI	L1FLnI	chr1	49638692	49647696	+	l1base	L1FLnI_1p33x_chr1_49638692_49647696	L1FLnI_1p33x_chr1_49638692_49647696				UID-7296
L1FLnI_1p33y	L1FLnI	L1FLnI	chr1	49704017	49712959	-	l1base	L1FLnI_1p33y_chr1_49704017_49712959	L1FLnI_1p33y_chr1_49704017_49712959				UID-7531
L1FLnI_1p33z	L1FLnI	L1FLnI	chr1	49734348	49744564	+	l1base	L1FLnI_1p33z_chr1_49734348_49744564	L1FLnI_1p33z_chr1_49734348_49744564				UID-6866
L1ORF2_1p33	L1ORF2	L1ORF2	chr1	49874143	49882188	-	l1base	L1ORF2_1p33_chr1_49874143_49882188	L1ORF2_1p33_chr1_49874143_49882188				UID-94
L1FLnI_1p33aa	L1FLnI	L1FLnI	chr1	49911610	49921756	+	l1base	L1FLnI_1p33aa_chr1_49911610_49921756	L1FLnI_1p33aa_chr1_49911610_49921756				UID-7051
L1FLnI_1p33ba	L1FLnI	L1FLnI	chr1	49931343	49941364	+	l1base	L1FLnI_1p33ba_chr1_49931343_49941364	L1FLnI_1p33ba_chr1_49931343_49941364				UID-6733
L1FLnI_1p33ca	L1FLnI	L1FLnI	chr1	49939765	49948452	+	l1base	L1FLnI_1p33ca_chr1_49939765_49948452	L1FLnI_1p33ca_chr1_49939765_49948452				UID-6943
L1FLnI_1p33da	L1FLnI	L1FLnI	chr1	49939765	49948451	+	l1base	L1FLnI_1p33da_chr1_49939765_49948451	L1FLnI_1p33da_chr1_49939765_49948451				UID-6972
L1FLnI_1p33ea	L1FLnI	L1FLnI	chr1	49991132	50001511	+	l1base	L1FLnI_1p33ea_chr1_49991132_50001511	L1FLnI_1p33ea_chr1_49991132_50001511				UID-6940
L1FLnI_1p32.3a	L1FLnI	L1FLnI	chr1	50357156	50366078	+	l1base	L1FLnI_1p32.3a_chr1_50357156_50366078	L1FLnI_1p32.3a_chr1_50357156_50366078				UID-6979
L1FLnI_1p32.3b	L1FLnI	L1FLnI	chr1	50357156	50366107	+	l1base	L1FLnI_1p32.3b_chr1_50357156_50366107	L1FLnI_1p32.3b_chr1_50357156_50366107				UID-6992
L1FLnI_1p32.3c	L1FLnI	L1FLnI	chr1	50885884	50895993	-	l1base	L1FLnI_1p32.3c_chr1_50885884_50895993	L1FLnI_1p32.3c_chr1_50885884_50895993				UID-7048
L1FLnI_1p32.3d	L1FLnI	L1FLnI	chr1	50904388	50914509	-	l1base	L1FLnI_1p32.3d_chr1_50904388_50914509	L1FLnI_1p32.3d_chr1_50904388_50914509				UID-7049
L1FLnI_1p32.3e	L1FLnI	L1FLnI	chr1	51383142	51391982	+	l1base	L1FLnI_1p32.3e_chr1_51383142_51391982	L1FLnI_1p32.3e_chr1_51383142_51391982				UID-6900
L1FLnI_1p32.3f	L1FLnI	L1FLnI	chr1	51383142	51391997	+	l1base	L1FLnI_1p32.3f_chr1_51383142_51391997	L1FLnI_1p32.3f_chr1_51383142_51391997				UID-6921
L1FLnI_1p32.3g	L1FLnI	L1FLnI	chr1	52170502	52180641	-	l1base	L1FLnI_1p32.3g_chr1_52170502_52180641	L1FLnI_1p32.3g_chr1_52170502_52180641				UID-6695
L1FLnI_1p32.3h	L1FLnI	L1FLnI	chr1	53001164	53011282	+	l1base	L1FLnI_1p32.3h_chr1_53001164_53011282	L1FLnI_1p32.3h_chr1_53001164_53011282				UID-7040
L1FLnI_1p32.3i	L1FLnI	L1FLnI	chr1	54443865	54452912	-	l1base	L1FLnI_1p32.3i_chr1_54443865_54452912	L1FLnI_1p32.3i_chr1_54443865_54452912				UID-7077
L1FLnI_1p32.3j	L1FLnI	L1FLnI	chr1	55426758	55437324	+	l1base	L1FLnI_1p32.3j_chr1_55426758_55437324	L1FLnI_1p32.3j_chr1_55426758_55437324				UID-7139
L1FLnI_1p32.3k	L1FLnI	L1FLnI	chr1	55561332	55571469	-	l1base	L1FLnI_1p32.3k_chr1_55561332_55571469	L1FLnI_1p32.3k_chr1_55561332_55571469				UID-6878
L1FLnI_1p32.2a	L1FLnI	L1FLnI	chr1	56339717	56348769	+	l1base	L1FLnI_1p32.2a_chr1_56339717_56348769	L1FLnI_1p32.2a_chr1_56339717_56348769				UID-7503
L1FLnI_1p32.2b	L1FLnI	L1FLnI	chr1	57559815	57569476	+	l1base	L1FLnI_1p32.2b_chr1_57559815_57569476	L1FLnI_1p32.2b_chr1_57559815_57569476				UID-7074
L1FLnI_1p32.2c	L1FLnI	L1FLnI	chr1	58125957	58135985	-	l1base	L1FLnI_1p32.2c_chr1_58125957_58135985	L1FLnI_1p32.2c_chr1_58125957_58135985				UID-7339
L1FLnI_1p32.2d	L1FLnI	L1FLnI	chr1	58268515	58278532	-	l1base	L1FLnI_1p32.2d_chr1_58268515_58278532	L1FLnI_1p32.2d_chr1_58268515_58278532				UID-7340
L1FLnI_1p32.2e	L1FLnI	L1FLnI	chr1	58372673	58382706	-	l1base	L1FLnI_1p32.2e_chr1_58372673_58382706	L1FLnI_1p32.2e_chr1_58372673_58382706				UID-7341
L1FLnI_1p32.1a	L1FLnI	L1FLnI	chr1	58954630	58964783	+	l1base	L1FLnI_1p32.1a_chr1_58954630_58964783	L1FLnI_1p32.1a_chr1_58954630_58964783				UID-7062
L1FLnI_1p32.1b	L1FLnI	L1FLnI	chr1	59247325	59257462	+	l1base	L1FLnI_1p32.1b_chr1_59247325_59257462	L1FLnI_1p32.1b_chr1_59247325_59257462				UID-6888
L1FLnI_1p32.1c	L1FLnI	L1FLnI	chr1	59365425	59375578	+	l1base	L1FLnI_1p32.1c_chr1_59365425_59375578	L1FLnI_1p32.1c_chr1_59365425_59375578				UID-6757
L1FLnI_1p32.1d	L1FLnI	L1FLnI	chr1	59529497	59539505	+	l1base	L1FLnI_1p32.1d_chr1_59529497_59539505	L1FLnI_1p32.1d_chr1_59529497_59539505				UID-6758
L1FLnI_1p32.1e	L1FLnI	L1FLnI	chr1	59583305	59593448	+	l1base	L1FLnI_1p32.1e_chr1_59583305_59593448	L1FLnI_1p32.1e_chr1_59583305_59593448				UID-6759
L1FLnI_1p32.1f	L1FLnI	L1FLnI	chr1	59607038	59617142	+	l1base	L1FLnI_1p32.1f_chr1_59607038_59617142	L1FLnI_1p32.1f_chr1_59607038_59617142				UID-6889
L1FLnI_1p32.1g	L1FLnI	L1FLnI	chr1	59647249	59657279	-	l1base	L1FLnI_1p32.1g_chr1_59647249_59657279	L1FLnI_1p32.1g_chr1_59647249_59657279				UID-7351
L1FLnI_1p32.1h	L1FLnI	L1FLnI	chr1	59787437	59797257	+	l1base	L1FLnI_1p32.1h_chr1_59787437_59797257	L1FLnI_1p32.1h_chr1_59787437_59797257				UID-7498
L1FLnI_1p32.1i	L1FLnI	L1FLnI	chr1	59787437	59796732	+	l1base	L1FLnI_1p32.1i_chr1_59787437_59796732	L1FLnI_1p32.1i_chr1_59787437_59796732				UID-7500
L1FLnI_1p32.1j	L1FLnI	L1FLnI	chr1	60486634	60496649	+	l1base	L1FLnI_1p32.1j_chr1_60486634_60496649	L1FLnI_1p32.1j_chr1_60486634_60496649				UID-6721
L1FLnI_1p32.1k	L1FLnI	L1FLnI	chr1	60636514	60646537	+	l1base	L1FLnI_1p32.1k_chr1_60636514_60646537	L1FLnI_1p32.1k_chr1_60636514_60646537				UID-7322
L1FLnI_1p32.1l	L1FLnI	L1FLnI	chr1	60705574	60714250	+	l1base	L1FLnI_1p32.1l_chr1_60705574_60714250	L1FLnI_1p32.1l_chr1_60705574_60714250				UID-7225
L1FLnI_1p32.1m	L1FLnI	L1FLnI	chr1	60772042	60782175	-	l1base	L1FLnI_1p32.1m_chr1_60772042_60782175	L1FLnI_1p32.1m_chr1_60772042_60782175				UID-7036
L1FLnI_1p31.3a	L1FLnI	L1FLnI	chr1	61541282	61551392	-	l1base	L1FLnI_1p31.3a_chr1_61541282_61551392	L1FLnI_1p31.3a_chr1_61541282_61551392				UID-6964
L1FLnI_1p31.3b	L1FLnI	L1FLnI	chr1	61572883	61582309	-	l1base	L1FLnI_1p31.3b_chr1_61572883_61582309	L1FLnI_1p31.3b_chr1_61572883_61582309				UID-7472
L1FLnI_1p31.3c	L1FLnI	L1FLnI	chr1	61939642	61949724	+	l1base	L1FLnI_1p31.3c_chr1_61939642_61949724	L1FLnI_1p31.3c_chr1_61939642_61949724				UID-7086
L1FLnI_1p31.3d	L1FLnI	L1FLnI	chr1	62698907	62708898	-	l1base	L1FLnI_1p31.3d_chr1_62698907_62708898	L1FLnI_1p31.3d_chr1_62698907_62708898				UID-6843
L1FLnI_1p31.3e	L1FLnI	L1FLnI	chr1	64247973	64258294	+	l1base	L1FLnI_1p31.3e_chr1_64247973_64258294	L1FLnI_1p31.3e_chr1_64247973_64258294				UID-7208
L1FLnI_1p31.3f	L1FLnI	L1FLnI	chr1	64269928	64280086	+	l1base	L1FLnI_1p31.3f_chr1_64269928_64280086	L1FLnI_1p31.3f_chr1_64269928_64280086				UID-6800
L1FLnI_1p31.3g	L1FLnI	L1FLnI	chr1	65449781	65459809	-	l1base	L1FLnI_1p31.3g_chr1_65449781_65459809	L1FLnI_1p31.3g_chr1_65449781_65459809				UID-6750
L1FLnI_1p31.3h	L1FLnI	L1FLnI	chr1	65461504	65471672	-	l1base	L1FLnI_1p31.3h_chr1_65461504_65471672	L1FLnI_1p31.3h_chr1_65461504_65471672				UID-7451
L1FLnI_1p31.3i	L1FLnI	L1FLnI	chr1	65544289	65554470	-	l1base	L1FLnI_1p31.3i_chr1_65544289_65554470	L1FLnI_1p31.3i_chr1_65544289_65554470				UID-6813
L1FLnI_1p31.3j	L1FLnI	L1FLnI	chr1	65544308	65554470	-	l1base	L1FLnI_1p31.3j_chr1_65544308_65554470	L1FLnI_1p31.3j_chr1_65544308_65554470				UID-6751
L1FLnI_1p31.3k	L1FLnI	L1FLnI	chr1	65558051	65568076	-	l1base	L1FLnI_1p31.3k_chr1_65558051_65568076	L1FLnI_1p31.3k_chr1_65558051_65568076				UID-7345
L1FLnI_1p31.3l	L1FLnI	L1FLnI	chr1	65648184	65658583	+	l1base	L1FLnI_1p31.3l_chr1_65648184_65658583	L1FLnI_1p31.3l_chr1_65648184_65658583				UID-7142
L1FLnI_1p31.3m	L1FLnI	L1FLnI	chr1	66184345	66194486	-	l1base	L1FLnI_1p31.3m_chr1_66184345_66194486	L1FLnI_1p31.3m_chr1_66184345_66194486				UID-6862
L1FLnI_1p31.3n	L1FLnI	L1FLnI	chr1	66199309	66208496	-	l1base	L1FLnI_1p31.3n_chr1_66199309_66208496	L1FLnI_1p31.3n_chr1_66199309_66208496				UID-6863
L1FLnI_1p31.3o	L1FLnI	L1FLnI	chr1	66427452	66436284	-	l1base	L1FLnI_1p31.3o_chr1_66427452_66436284	L1FLnI_1p31.3o_chr1_66427452_66436284				UID-6999
L1FLnI_1p31.3p	L1FLnI	L1FLnI	chr1	66477425	66487452	+	l1base	L1FLnI_1p31.3p_chr1_66477425_66487452	L1FLnI_1p31.3p_chr1_66477425_66487452				UID-6729
L1FLnI_1p31.3q	L1FLnI	L1FLnI	chr1	66776644	66786826	+	l1base	L1FLnI_1p31.3q_chr1_66776644_66786826	L1FLnI_1p31.3q_chr1_66776644_66786826				UID-6864
L1FLnI_1p31.3r	L1FLnI	L1FLnI	chr1	67032187	67040761	-	l1base	L1FLnI_1p31.3r_chr1_67032187_67040761	L1FLnI_1p31.3r_chr1_67032187_67040761				UID-7233
L1FLnI_1p31.3s	L1FLnI	L1FLnI	chr1	67078362	67088415	-	l1base	L1FLnI_1p31.3s_chr1_67078362_67088415	L1FLnI_1p31.3s_chr1_67078362_67088415				UID-6693
L1FLnI_1p31.3t	L1FLnI	L1FLnI	chr1	67078384	67088415	-	l1base	L1FLnI_1p31.3t_chr1_67078384_67088415	L1FLnI_1p31.3t_chr1_67078384_67088415				UID-6685
L1FLnI_1p31.3u	L1FLnI	L1FLnI	chr1	67176140	67186276	-	l1base	L1FLnI_1p31.3u_chr1_67176140_67186276	L1FLnI_1p31.3u_chr1_67176140_67186276				UID-6901
L1FLnI_1p31.3v	L1FLnI	L1FLnI	chr1	67900600	67909353	-	l1base	L1FLnI_1p31.3v_chr1_67900600_67909353	L1FLnI_1p31.3v_chr1_67900600_67909353				UID-6957
L1FLnI_1p31.3w	L1FLnI	L1FLnI	chr1	68002628	68012723	-	l1base	L1FLnI_1p31.3w_chr1_68002628_68012723	L1FLnI_1p31.3w_chr1_68002628_68012723				UID-7454
L1FLnI_1p31.3x	L1FLnI	L1FLnI	chr1	68055433	68064879	+	l1base	L1FLnI_1p31.3x_chr1_68055433_68064879	L1FLnI_1p31.3x_chr1_68055433_68064879				UID-7187
L1FLnI_1p31.3y	L1FLnI	L1FLnI	chr1	68087097	68097205	-	l1base	L1FLnI_1p31.3y_chr1_68087097_68097205	L1FLnI_1p31.3y_chr1_68087097_68097205				UID-7455
L1FLnI_1p31.3z	L1FLnI	L1FLnI	chr1	68495859	68505163	+	l1base	L1FLnI_1p31.3z_chr1_68495859_68505163	L1FLnI_1p31.3z_chr1_68495859_68505163				UID-6950
L1FLnI_1p31.2a	L1FLnI	L1FLnI	chr1	68544007	68553835	+	l1base	L1FLnI_1p31.2a_chr1_68544007_68553835	L1FLnI_1p31.2a_chr1_68544007_68553835				UID-7203
L1FLnI_1p31.2b	L1FLnI	L1FLnI	chr1	68680988	68691136	-	l1base	L1FLnI_1p31.2b_chr1_68680988_68691136	L1FLnI_1p31.2b_chr1_68680988_68691136				UID-6919
L1FLnI_1p31.2c	L1FLnI	L1FLnI	chr1	68681000	68691136	-	l1base	L1FLnI_1p31.2c_chr1_68681000_68691136	L1FLnI_1p31.2c_chr1_68681000_68691136				UID-6887
L1FLnI_1p31.2d	L1FLnI	L1FLnI	chr1	68875279	68885305	-	l1base	L1FLnI_1p31.2d_chr1_68875279_68885305	L1FLnI_1p31.2d_chr1_68875279_68885305				UID-7350
L1FLnI_1p31.2e	L1FLnI	L1FLnI	chr1	69066999	69075921	-	l1base	L1FLnI_1p31.2e_chr1_69066999_69075921	L1FLnI_1p31.2e_chr1_69066999_69075921				UID-6974
L1FLnI_1p31.2f	L1FLnI	L1FLnI	chr1	69096030	69106168	-	l1base	L1FLnI_1p31.2f_chr1_69096030_69106168	L1FLnI_1p31.2f_chr1_69096030_69106168				UID-7012
L1FLnI_1p31.2g	L1FLnI	L1FLnI	chr1	69151303	69161850	-	l1base	L1FLnI_1p31.2g_chr1_69151303_69161850	L1FLnI_1p31.2g_chr1_69151303_69161850				UID-7297
L1FLnI_1p31.1a	L1FLnI	L1FLnI	chr1	69306299	69316127	-	l1base	L1FLnI_1p31.1a_chr1_69306299_69316127	L1FLnI_1p31.1a_chr1_69306299_69316127				UID-7385
L1FLnI_1p31.1b	L1FLnI	L1FLnI	chr1	69367471	69378205	-	l1base	L1FLnI_1p31.1b_chr1_69367471_69378205	L1FLnI_1p31.1b_chr1_69367471_69378205				UID-7393
L1FLnI_1p31.1c	L1FLnI	L1FLnI	chr1	69388951	69399094	-	l1base	L1FLnI_1p31.1c_chr1_69388951_69399094	L1FLnI_1p31.1c_chr1_69388951_69399094				UID-7013
L1FLnI_1p31.1d	L1FLnI	L1FLnI	chr1	69882115	69892143	-	l1base	L1FLnI_1p31.1d_chr1_69882115_69892143	L1FLnI_1p31.1d_chr1_69882115_69892143				UID-7306
L1FLnI_1p31.1e	L1FLnI	L1FLnI	chr1	69904766	69914848	-	l1base	L1FLnI_1p31.1e_chr1_69904766_69914848	L1FLnI_1p31.1e_chr1_69904766_69914848				UID-6826
L1FLnI_1p31.1f	L1FLnI	L1FLnI	chr1	69904776	69914848	-	l1base	L1FLnI_1p31.1f_chr1_69904776_69914848	L1FLnI_1p31.1f_chr1_69904776_69914848				UID-6920
L1FLnI_1p31.1g	L1FLnI	L1FLnI	chr1	69922315	69932452	-	l1base	L1FLnI_1p31.1g_chr1_69922315_69932452	L1FLnI_1p31.1g_chr1_69922315_69932452				UID-6702
L1FLnI_1p31.1h	L1FLnI	L1FLnI	chr1	70594622	70604778	-	l1base	L1FLnI_1p31.1h_chr1_70594622_70604778	L1FLnI_1p31.1h_chr1_70594622_70604778				UID-6727
L1FLnI_1p31.1i	L1FLnI	L1FLnI	chr1	70594635	70604778	-	l1base	L1FLnI_1p31.1i_chr1_70594635_70604778	L1FLnI_1p31.1i_chr1_70594635_70604778				UID-6812
