locus	category	family	chrom	start	end	strand	source	gene_id	transcript_id	repFamily	repName	intModel	l1base_id
HERVL66_1p36.32	prototype	prototype	chr1	4587568	4591911	-	rmsk	HERVL66_1p36.32	HERVL66_1p36.32	ERVL	LTR66	HERVL66-int	
HERVH_1p36.32b	prototype	prototype	chr1	5044796	5053098	+	rmsk	HERVH_1p36.32b	HERVH_1p36.32b	ERV1	LTR7	HERVH-int	
HERVH_1p36.32c	oneside	oneside	chr1	5114487	5118888	+	rmsk	HERVH_1p36.32c	HERVH_1p36.32c	ERV1	HERVH-int	HERVH-int	
ERVLE_1p36.31a	internal	internal	chr1	5580463	5582352	-	rmsk	ERVLE_1p36.31a	ERVLE_1p36.31a	ERVL	ERVL-E-int	ERVL-E-int	
ERVLE_1p36.31b	internal	internal	chr1	5820123	5823005	+	rmsk	ERVLE_1p36.31b	ERVLE_1p36.31b	ERVL	ERVL-E-int	ERVL-E-int	
HERVFH21_1p36.31	prototype	prototype	chr1	6560297	6570283	-	rmsk	HERVFH21_1p36.31	HERVFH21_1p36.31	ERV1	LTR21B	HERVFH21-int	
ERV316A3_1p36.23	internal	internal	chr1	7320314	7322250	-	rmsk	ERV316A3_1p36.23	ERV316A3_1p36.23	ERVL	ERV3-16A3_I-int	ERV3-16A3_I-int	
HERV9_1p36.23	oneside	oneside	chr1	8895877	8899114	+	rmsk	HERV9_1p36.23	HERV9_1p36.23	ERV1	HERV9-int	HERV9-int	
HML3_1p36.23	oneside	oneside	chr1	8907810	8908879	-	rmsk	HML3_1p36.23	HML3_1p36.23	ERVK	HERVK9-int	HERVK9-int	
HERVFH21_1p36.23	prototype	prototype	chr1	8921052	8927668	+	rmsk	HERVFH21_1p36.23	HERVFH21_1p36.23	ERV1	LTR21A	HERVFH21-int	
HERVFH19_1p36.23a	oneside	oneside	chr1	9086800	9088393	+	rmsk	HERVFH19_1p36.23a	HERVFH19_1p36.23a	ERV1	LTR19A	HERVFH19-int	
HERVFH19_1p36.23b	oneside	oneside	chr1	9088458	9096029	+	rmsk	HERVFH19_1p36.23b	HERVFH19_1p36.23b	ERV1	HERVFH19-int	HERVFH19-int	
ERVLB4_1p36.22	oneside	oneside	chr1	9297468	9302644	+	rmsk	ERVLB4_1p36.22	ERVLB4_1p36.22	ERVL	ERVL-B4-int	ERVL-B4-int	
ERVL_1p36.22a	prototype	prototype	chr1	9302227	9304444	+	rmsk	ERVL_1p36.22a	ERVL_1p36.22a	ERVL	MLT2B5	ERVL-int	
ERVL_1p36.22b	internal	internal	chr1	9496729	9497380	-	rmsk	ERVL_1p36.22b	ERVL_1p36.22b	ERVL	ERVL-int	ERVL-int	
HUERSP1_1p36.22	internal	internal	chr1	10016592	10017954	-	rmsk	HUERSP1_1p36.22	HUERSP1_1p36.22	ERV1	HUERS-P1-int	HUERS-P1-int	
ERVLE_1p36.22	internal	internal	chr1	10140592	10141777	-	rmsk	ERVLE_1p36.22	ERVLE_1p36.22	ERVL	ERVL-E-int	ERVL-E-int	
ERV316A3_1p36.22a	oneside	oneside	chr1	11378008	11383024	+	rmsk	ERV316A3_1p36.22a	ERV316A3_1p36.22a	ERVL	LTR16	ERV3-16A3_I-int	
ERV316A3_1p36.22b	oneside	oneside	chr1	11383219	11385505	+	rmsk	ERV316A3_1p36.22b	ERV316A3_1p36.22b	ERVL	ERV3-16A3_I-int	ERV3-16A3_I-int	
HERVL_1p36.22	oneside	oneside	chr1	12388951	12395953	-	rmsk	HERVL_1p36.22	HERVL_1p36.22	ERVL	MLT2A1	HERVL-int	
ERVLE_1p36.21a	internal	internal	chr1	12669213	12670382	+	rmsk	ERVLE_1p36.21a	ERVLE_1p36.21a	ERVL	ERVL-E-int	ERVL-E-int	
ERVLE_1p36.21b	internal	internal	chr1	12674390	12677130	-	rmsk	ERVLE_1p36.21b	ERVLE_1p36.21b	ERVL	ERVL-E-int	ERVL-E-int	
HERVIP10F_1p36.21	oneside	oneside	chr1	12703944	12713280	-	rmsk	HERVIP10F_1p36.21	HERVIP10F_1p36.21	ERV1	LTR10F	HERVIP10F-int	
HML2_1p36.21a	oneside	oneside	chr1	12780115	12785935	-	rmsk	HML2_1p36.21a	HML2_1p36.21a	ERVK	HERVK-int	HERVK-int	
HML2_1p36.21b	prototype	prototype	chr1	13012447	13021988	-	rmsk	HML2_1p36.21b	HML2_1p36.21b	ERVK	LTR5B	HERVK-int	
HERV3_1p36.21a	oneside	oneside	chr1	13084708	13089947	+	rmsk	HERV3_1p36.21a	HERV3_1p36.21a	ERV1	LTR61	HERV3-int	
HERV3_1p36.21b	oneside	oneside	chr1	13136842	13142081	-	rmsk	HERV3_1p36.21b	HERV3_1p36.21b	ERV1	HERV3-int	HERV3-int	
HML2_1p36.21c	prototype	prototype	chr1	13206972	13216513	+	rmsk	HML2_1p36.21c	HML2_1p36.21c	ERVK	LTR5B	HERVK-int	
HML2_1p36.21d	prototype	prototype	chr1	13352736	13362257	+	rmsk	HML2_1p36.21d	HML2_1p36.21d	ERVK	LTR5B	HERVK-int	
HERVIP10FH_1p36.21a	oneside	oneside	chr1	13559651	13560780	+	rmsk	HERVIP10FH_1p36.21a	HERVIP10FH_1p36.21a	ERV1	LTR10F	HERVIP10FH-int	
HERVH_1p36.21	prototype	prototype	chr1	13560841	13567494	+	rmsk	HERVH_1p36.21	HERVH_1p36.21	ERV1	LTR7B	HERVH-int	
HERVIP10FH_1p36.21b	oneside	oneside	chr1	13567557	13573195	+	rmsk	HERVIP10FH_1p36.21b	HERVIP10FH_1p36.21b	ERV1	HERVIP10FH-int	HERVIP10FH-int	
ERVLE_1p36.13a	internal	internal	chr1	15982682	15983526	+	rmsk	ERVLE_1p36.13a	ERVLE_1p36.13a	ERVL	ERVL-E-int	ERVL-E-int	
HML3_1p36.13a	prototype	prototype	chr1	16102814	16108812	-	rmsk	HML3_1p36.13a	HML3_1p36.13a	ERVK	MER9a2	HERVK9-int	
PRIMA41_1p36.13a	internal	internal	chr1	16529151	16531095	-	rmsk	PRIMA41_1p36.13a	PRIMA41_1p36.13a	ERV1	PRIMA41-int	PRIMA41-int	
ERVLE_1p36.13b	internal	internal	chr1	16602708	16603314	-	rmsk	ERVLE_1p36.13b	ERVLE_1p36.13b	ERVL	ERVL-E-int	ERVL-E-int	
PRIMA41_1p36.13b	internal	internal	chr1	16670469	16671381	-	rmsk	PRIMA41_1p36.13b	PRIMA41_1p36.13b	ERV1	PRIMA41-int	PRIMA41-int	
PRIMA41_1p36.13c	internal	internal	chr1	16736083	16736995	+	rmsk	PRIMA41_1p36.13c	PRIMA41_1p36.13c	ERV1	PRIMA41-int	PRIMA41-int	
PRIMA41_1p36.13d	internal	internal	chr1	16876821	16878758	+	rmsk	PRIMA41_1p36.13d	PRIMA41_1p36.13d	ERV1	PRIMA41-int	PRIMA41-int	
MER61_1p36.13	internal	internal	chr1	17491933	17493205	+	rmsk	MER61_1p36.13	MER61_1p36.13	ERV1	MER61-int	MER61-int	
ERVLE_1p36.13c	internal	internal	chr1	17757179	17758849	+	rmsk	ERVLE_1p36.13c	ERVLE_1p36.13c	ERVL	ERVL-E-int	ERVL-E-int	
ERVLE_1p36.13d	prototype	prototype	chr1	17941282	17944864	-	rmsk	ERVLE_1p36.13d	ERVLE_1p36.13d	ERVL	MLT2F	ERVL-E-int	
ERV316A3_1p36.13	oneside	oneside	chr1	18843102	18846539	+	rmsk	ERV316A3_1p36.13	ERV316A3_1p36.13	ERVL	ERV3-16A3_I-int	ERV3-16A3_I-int	
HUERSP3_1p36.13	oneside	oneside	chr1	19294272	19296835	-	rmsk	HUERSP3_1p36.13	HUERSP3_1p36.13	ERV1	HUERS-P3-int	HUERS-P3-int	
HML3_1p36.13b	prototype	prototype	chr1	19541477	19547695	+	rmsk	HML3_1p36.13b	HML3_1p36.13b	ERVK	MER9a3	HERVK9-int	
HUERSP1_1p36.13	internal	internal	chr1	19847836	19850962	-	rmsk	HUERSP1_1p36.13	HUERSP1_1p36.13	ERV1	HUERS-P1-int	HUERS-P1-int	
HERVK14C_1p36.13	internal	internal	chr1	19927433	19932159	-	rmsk	HERVK14C_1p36.13	HERVK14C_1p36.13	ERVK	HERVK14C-int	HERVK14C-int	
ERVLE_1p36.13e	internal	internal	chr1	19941747	19942317	+	rmsk	ERVLE_1p36.13e	ERVLE_1p36.13e	ERVL	ERVL-E-int	ERVL-E-int	
HML3_1p36.13c	prototype	prototype	chr1	19997411	20003727	+	rmsk	HML3_1p36.13c	HML3_1p36.13c	ERVK	MER9a2	HERVK9-int	
LTR46_1p36.13	prototype	prototype	chr1	20028127	20035516	-	rmsk	LTR46_1p36.13	LTR46_1p36.13	ERV1	LTR46	LTR46-int	
HERVH_1p36.13	oneside	oneside	chr1	20041281	20045782	-	rmsk	HERVH_1p36.13	HERVH_1p36.13	ERV1	LTR7	HERVH-int	
MER4_1p36.13	oneside	oneside	chr1	20046813	20053194	+	rmsk	MER4_1p36.13	MER4_1p36.13	ERV1	MER4-int	MER4-int	
ERVLE_1p36.13f	prototype	prototype	chr1	20094082	20097380	+	rmsk	ERVLE_1p36.13f	ERVLE_1p36.13f	ERVL	MLT2F	ERVL-E-int	
HERVE_1p36.12	prototype	prototype	chr1	20154110	20160610	+	rmsk	HERVE_1p36.12	HERVE_1p36.12	ERV1	LTR2C	HERVE-int	
HUERSP1_1p36.12	internal	internal	chr1	20515729	20519665	+	rmsk	HUERSP1_1p36.12	HUERSP1_1p36.12	ERV1	HUERS-P1-int	HUERS-P1-int	
ERVLB4_1p36.12a	internal	internal	chr1	21205115	21206755	+	rmsk	ERVLB4_1p36.12a	ERVLB4_1p36.12a	ERVL	ERVL-B4-int	ERVL-B4-int	
ERVLB4_1p36.12b	internal	internal	chr1	21207724	21213077	+	rmsk	ERVLB4_1p36.12b	ERVLB4_1p36.12b	ERVL	ERVL-B4-int	ERVL-B4-int	
MER41_1p36.12	prototype	prototype	chr1	21389817	21402446	+	rmsk	MER41_1p36.12	MER41_1p36.12	ERV1	MER41B	MER41-int	
ERVLE_1p36.12	internal	internal	chr1	21453383	21453988	+	rmsk	ERVLE_1p36.12	ERVLE_1p36.12	ERVL	ERVL-E-int	ERVL-E-int	
PABLB_1p36.12	internal	internal	chr1	22944027	22944895	+	rmsk	PABLB_1p36.12	PABLB_1p36.12	ERV1	PABL_B-int	PABL_B-int	
MER4_1p36.12a	oneside	oneside	chr1	22987775	22989766	+	rmsk	MER4_1p36.12a	MER4_1p36.12a	ERV1	MER4A1_	MER4-int	
MER4_1p36.12b	internal	internal	chr1	22989788	22997502	+	rmsk	MER4_1p36.12b	MER4_1p36.12b	ERV1	MER4-int	MER4-int	
HERVH_1p36.12	prototype	prototype	chr1	22997505	23004403	-	rmsk	HERVH_1p36.12	HERVH_1p36.12	ERV1	LTR7C	HERVH-int	
ERVLB4_1p36.11	internal	internal	chr1	24888544	24893132	-	rmsk	ERVLB4_1p36.11	ERVLB4_1p36.11	ERVL	ERVL-B4-int	ERVL-B4-int	
ERV316A3_1p36.11a	internal	internal	chr1	25121778	25123964	-	rmsk	ERV316A3_1p36.11a	ERV316A3_1p36.11a	ERVL	ERV3-16A3_I-int	ERV3-16A3_I-int	
ERV316A3_1p36.11b	oneside	oneside	chr1	26145639	26147087	-	rmsk	ERV316A3_1p36.11b	ERV316A3_1p36.11b	ERVL	LTR16A	ERV3-16A3_I-int	
ERVLE_1p36.11a	internal	internal	chr1	26148781	26150036	-	rmsk	ERVLE_1p36.11a	ERVLE_1p36.11a	ERVL	ERVL-E-int	ERVL-E-int	
MER41_1p36.11	oneside	oneside	chr1	26630245	26636092	+	rmsk	MER41_1p36.11	MER41_1p36.11	ERV1	MER41-int	MER41-int	
ERVLE_1p36.11b	internal	internal	chr1	26811581	26816449	+	rmsk	ERVLE_1p36.11b	ERVLE_1p36.11b	ERVL	ERVL-E-int	ERVL-E-int	
ERVLE_1p36.11c	internal	internal	chr1	27070419	27074352	+	rmsk	ERVLE_1p36.11c	ERVLE_1p36.11c	ERVL	ERVL-E-int	ERVL-E-int	
ERVLE_1p36.11d	internal	internal	chr1	27087720	27095180	+	rmsk	ERVLE_1p36.11d	ERVLE_1p36.11d	ERVL	ERVL-E-int	ERVL-E-int	
ERVLE_1p35.3a	internal	internal	chr1	27672710	27674802	-	rmsk	ERVLE_1p35.3a	ERVLE_1p35.3a	ERVL	ERVL-E-int	ERVL-E-int	
MER41_1p35.3	oneside	oneside	chr1	27690156	27694283	-	rmsk	MER41_1p35.3	MER41_1p35.3	ERV1	MER41B	MER41-int	
ERVLE_1p35.3b	internal	internal	chr1	27697848	27698817	-	rmsk	ERVLE_1p35.3b	ERVLE_1p35.3b	ERVL	ERVL-E-int	ERVL-E-int	
HARLEQUIN_1p35.3	oneside	oneside	chr1	28586907	28589810	-	rmsk	HARLEQUIN_1p35.3	HARLEQUIN_1p35.3	ERV1	LTR2B	Harlequin-int	
HERVL_1p35.3a	internal	internal	chr1	28654009	28659822	-	rmsk	HERVL_1p35.3a	HERVL_1p35.3a	ERVL	HERVL-int	HERVL-int	
ERVLE_1p35.3c	internal	internal	chr1	29333293	29340974	+	rmsk	ERVLE_1p35.3c	ERVLE_1p35.3c	ERVL	ERVL-E-int	ERVL-E-int	
ERVLE_1p35.3d	internal	internal	chr1	29405644	29406960	+	rmsk	ERVLE_1p35.3d	ERVLE_1p35.3d	ERVL	ERVL-E-int	ERVL-E-int	
ERV316A3_1p35.3a	internal	internal	chr1	29473273	29474542	-	rmsk	ERV316A3_1p35.3a	ERV316A3_1p35.3a	ERVL	ERV3-16A3_I-int	ERV3-16A3_I-int	
HERVL40_1p35.3	oneside	oneside	chr1	29539105	29540316	-	rmsk	HERVL40_1p35.3	HERVL40_1p35.3	ERVL	LTR40b	HERVL40-int	
HERV4_1p35.3	internal	internal	chr1	29563476	29565515	-	rmsk	HERV4_1p35.3	HERV4_1p35.3	ERV1	HERV4_I-int	HERV4_I-int	
MER101_1p35.3	internal	internal	chr1	29607043	29611011	+	rmsk	MER101_1p35.3	MER101_1p35.3	ERV1	MER101-int	MER101-int	
ERV316A3_1p35.3b	internal	internal	chr1	29684136	29685259	+	rmsk	ERV316A3_1p35.3b	ERV316A3_1p35.3b	ERVL	ERV3-16A3_I-int	ERV3-16A3_I-int	
HML3_1p35.3	oneside	oneside	chr1	29716607	29717792	-	rmsk	HML3_1p35.3	HML3_1p35.3	ERVK	HERVK9-int	HERVK9-int	
HERVL_1p35.3b	prototype	prototype	chr1	29794201	29800046	+	rmsk	HERVL_1p35.3b	HERVL_1p35.3b	ERVL	MLT2A1	HERVL-int	
ERV316A3_1p35.2	oneside	oneside	chr1	29950154	29954214	+	rmsk	ERV316A3_1p35.2	ERV316A3_1p35.2	ERVL	LTR16B2	ERV3-16A3_I-int	
ERVLE_1p35.2a	internal	internal	chr1	30061549	30063910	+	rmsk	ERVLE_1p35.2a	ERVLE_1p35.2a	ERVL	ERVL-E-int	ERVL-E-int	
MER101_1p35.2	oneside	oneside	chr1	30174802	30178548	-	rmsk	MER101_1p35.2	MER101_1p35.2	ERV1	MER65A	MER101-int	
ERVLE_1p35.2b	internal	internal	chr1	30181315	30182428	+	rmsk	ERVLE_1p35.2b	ERVLE_1p35.2b	ERVL	ERVL-E-int	ERVL-E-int	
HERVH_1p35.2	prototype	prototype	chr1	30203678	30209113	+	rmsk	HERVH_1p35.2	HERVH_1p35.2	ERV1	LTR7B	HERVH-int	
ERVLB4_1p35.2	internal	internal	chr1	30288580	30290268	+	rmsk	ERVLB4_1p35.2	ERVLB4_1p35.2	ERVL	ERVL-B4-int	ERVL-B4-int	
ERVLE_1p35.2c	internal	internal	chr1	30380702	30383477	-	rmsk	ERVLE_1p35.2c	ERVLE_1p35.2c	ERVL	ERVL-E-int	ERVL-E-int	
ERVLE_1p35.2d	internal	internal	chr1	30473110	30475382	+	rmsk	ERVLE_1p35.2d	ERVLE_1p35.2d	ERVL	ERVL-E-int	ERVL-E-int	
ERVLE_1p35.2e	internal	internal	chr1	30543476	30544343	+	rmsk	ERVLE_1p35.2e	ERVLE_1p35.2e	ERVL	ERVL-E-int	ERVL-E-int	
MER34B_1p35.2	internal	internal	chr1	30922070	30925887	-	rmsk	MER34B_1p35.2	MER34B_1p35.2	ERV1	MER34B-int	MER34B-int	
HERVIP10F_1p35.2a	oneside	oneside	chr1	31453515	31457948	-	rmsk	HERVIP10F_1p35.2a	HERVIP10F_1p35.2a	ERV1	LTR10A	HERVIP10F-int	
HERVIP10F_1p35.2b	prototype	prototype	chr1	31457949	31467319	+	rmsk	HERVIP10F_1p35.2b	HERVIP10F_1p35.2b	ERV1	LTR10E	HERVIP10F-int	
HERVIP10F_1p35.2c	oneside	oneside	chr1	31467354	31471933	-	rmsk	HERVIP10F_1p35.2c	HERVIP10F_1p35.2c	ERV1	HERVIP10F-int	HERVIP10F-int	
HERVL_1p35.2	oneside	oneside	chr1	31517845	31518912	+	rmsk	HERVL_1p35.2	HERVL_1p35.2	ERVL	HERVL-int	HERVL-int	
ERVLE_1p35.2f	internal	internal	chr1	31994776	31995333	-	rmsk	ERVLE_1p35.2f	ERVLE_1p35.2f	ERVL	ERVL-E-int	ERVL-E-int	
ERVLE_1p35.1a	internal	internal	chr1	32404945	32411940	-	rmsk	ERVLE_1p35.1a	ERVLE_1p35.1a	ERVL	ERVL-E-int	ERVL-E-int	
HUERSP3B_1p35.1	oneside	oneside	chr1	32412918	32421941	+	rmsk	HUERSP3B_1p35.1	HUERSP3B_1p35.1	ERV1	LTR9	HUERS-P3b-int	
ERVLE_1p35.1b	internal	internal	chr1	32429861	32430430	-	rmsk	ERVLE_1p35.1b	ERVLE_1p35.1b	ERVL	ERVL-E-int	ERVL-E-int	
HERVH_1p35.1	prototype	prototype	chr1	32432337	32438038	+	rmsk	HERVH_1p35.1	HERVH_1p35.1	ERV1	LTR7	HERVH-int	
HERVIP10FH_1p35.1	prototype	prototype	chr1	32442304	32449911	-	rmsk	HERVIP10FH_1p35.1	HERVIP10FH_1p35.1	ERV1	LTR10F	HERVIP10FH-int	
HERVS71_1p35.1	oneside	oneside	chr1	32923851	32926914	-	rmsk	HERVS71_1p35.1	HERVS71_1p35.1	ERV1	HERVS71-int	HERVS71-int	
ERVLE_1p35.1c	internal	internal	chr1	32928071	32931352	-	rmsk	ERVLE_1p35.1c	ERVLE_1p35.1c	ERVL	ERVL-E-int	ERVL-E-int	
HERVK11_1p35.1	internal	internal	chr1	33065126	33068370	+	rmsk	HERVK11_1p35.1	HERVK11_1p35.1	ERVK	HERVK11-int	HERVK11-int	
ERV316A3_1p35.1a	prototype	prototype	chr1	33186883	33192763	-	rmsk	ERV316A3_1p35.1a	ERV316A3_1p35.1a	ERVL	LTR16C	ERV3-16A3_I-int	
ERV316A3_1p35.1b	internal	internal	chr1	33581791	33583607	+	rmsk	ERV316A3_1p35.1b	ERV316A3_1p35.1b	ERVL	ERV3-16A3_I-int	ERV3-16A3_I-int	
ERVLB4_1p35.1	oneside	oneside	chr1	34050180	34052158	+	rmsk	ERVLB4_1p35.1	ERVLB4_1p35.1	ERVL	ERVL-B4-int	ERVL-B4-int	
ERVLE_1p34.3a	internal	internal	chr1	34464782	34466743	+	rmsk	ERVLE_1p34.3a	ERVLE_1p34.3a	ERVL	ERVL-E-int	ERVL-E-int	
ERVLE_1p34.3b	internal	internal	chr1	34601347	34602512	-	rmsk	ERVLE_1p34.3b	ERVLE_1p34.3b	ERVL	ERVL-E-int	ERVL-E-int	
HERVH_1p34.3a	prototype	prototype	chr1	34631960	34636749	-	rmsk	HERVH_1p34.3a	HERVH_1p34.3a	ERV1	LTR7B	HERVH-int	
HERVFH19_1p34.3	internal	internal	chr1	35075455	35076339	+	rmsk	HERVFH19_1p34.3	HERVFH19_1p34.3	ERV1	HERVFH19-int	HERVFH19-int	
MER4_1p34.3b	insert*	insert*	chr1	35127220	35130565	-	rmsk	MER4_1p34.3b	MER4_1p34.3b	ERV1	MER4-int	MER4-int	
HERVH_1p34.3b	oneside	oneside	chr1	35132025	35138025	-	rmsk	HERVH_1p34.3b	HERVH_1p34.3b	ERV1	HERVH-int	HERVH-int	
HARLEQUIN_1p34.3a	internal	internal	chr1	35138026	35141426	-	rmsk	HARLEQUIN_1p34.3a	HARLEQUIN_1p34.3a	ERV1	Harlequin-int	Harlequin-int	
HERV3_1p34.3	internal	internal	chr1	35141915	35146564	-	rmsk	HERV3_1p34.3	HERV3_1p34.3	ERV1	HERV3-int	HERV3-int	
HARLEQUIN_1p34.3b	oneside	oneside	chr1	35147038	35149819	-	rmsk	HARLEQUIN_1p34.3b	HARLEQUIN_1p34.3b	ERV1	Harlequin-int	Harlequin-int	
ERVLE_1p34.3c	internal	internal	chr1	35295660	35297321	-	rmsk	ERVLE_1p34.3c	ERVLE_1p34.3c	ERVL	ERVL-E-int	ERVL-E-int	
ERV316A3_1p34.3a	internal	internal	chr1	35648569	35650718	+	rmsk	ERV316A3_1p34.3a	ERV316A3_1p34.3a	ERVL	ERV3-16A3_I-int	ERV3-16A3_I-int	
ERV316A3_1p34.3b	oneside	oneside	chr1	35650750	35651744	+	rmsk	ERV316A3_1p34.3b	ERV316A3_1p34.3b	ERVL	ERV3-16A3_I-int	ERV3-16A3_I-int	
HERVFH21_1p34.3	prototype	prototype	chr1	36329861	36337342	+	rmsk	HERVFH21_1p34.3	HERVFH21_1p34.3	ERV1	LTR21B	HERVFH21-int	
HML2_1p34.3	oneside	oneside	chr1	36488984	36491127	-	rmsk	HML2_1p34.3	HML2_1p34.3	ERVK	LTR5_Hs	HERVK-int	
HERVL_1p34.3a	prototype	prototype	chr1	37365035	37371640	+	rmsk	HERVL_1p34.3a	HERVL_1p34.3a	ERVL	MLT2A1	HERVL-int	
MER101_1p34.3	internal	internal	chr1	37526164	37528920	+	rmsk	MER101_1p34.3	MER101_1p34.3	ERV1	MER101-int	MER101-int	
MER41_1p34.3	prototype	prototype	chr1	37903067	37907814	+	rmsk	MER41_1p34.3	MER41_1p34.3	ERV1	MER41A	MER41-int	
HERVH_1p34.3c	prototype	prototype	chr1	37907815	37914173	+	rmsk	HERVH_1p34.3c	HERVH_1p34.3c	ERV1	LTR7B	HERVH-int	
HERVL_1p34.3b	prototype	prototype	chr1	38144395	38150922	+	rmsk	HERVL_1p34.3b	HERVL_1p34.3b	ERVL	MLT2A1	HERVL-int	
ERV316A3_1p34.3c	internal	internal	chr1	38155702	38159588	+	rmsk	ERV316A3_1p34.3c	ERV316A3_1p34.3c	ERVL	ERV3-16A3_I-int	ERV3-16A3_I-int	
HERVH_1p34.3d	prototype	prototype	chr1	38425114	38430779	+	rmsk	HERVH_1p34.3d	HERVH_1p34.3d	ERV1	LTR7	HERVH-int	
MER4_1p34.3a	oneside	oneside	chr1	39070989	39075809	-	rmsk	MER4_1p34.3a	MER4_1p34.3a	ERV1	MER4A1	MER4-int	
ERVLE_1p34.2a	internal	internal	chr1	40288340	40289668	-	rmsk	ERVLE_1p34.2a	ERVLE_1p34.2a	ERVL	ERVL-E-int	ERVL-E-int	
ERVLB4_1p34.2a	internal	internal	chr1	40433079	40436076	+	rmsk	ERVLB4_1p34.2a	ERVLB4_1p34.2a	ERVL	ERVL-B4-int	ERVL-B4-int	
ERVLE_1p34.2b	internal	internal	chr1	40841383	40843705	-	rmsk	ERVLE_1p34.2b	ERVLE_1p34.2b	ERVL	ERVL-E-int	ERVL-E-int	
ERVL_1p34.2	oneside	oneside	chr1	41174282	41175563	+	rmsk	ERVL_1p34.2	ERVL_1p34.2	ERVL	ERVL-int	ERVL-int	
ERVLE_1p34.2c	internal	internal	chr1	41436846	41441007	+	rmsk	ERVLE_1p34.2c	ERVLE_1p34.2c	ERVL	ERVL-E-int	ERVL-E-int	
HERVW_1p34.2	oneside	oneside	chr1	41944456	41950309	+	rmsk	HERVW_1p34.2	HERVW_1p34.2	ERV1	HERV17-int	HERV17-int	
ERV316A3_1p34.2a	oneside	oneside	chr1	41958113	41960712	+	rmsk	ERV316A3_1p34.2a	ERV316A3_1p34.2a	ERVL	ERV3-16A3_I-int	ERV3-16A3_I-int	
ERVLE_1p34.2d	internal	internal	chr1	42044766	42045351	-	rmsk	ERVLE_1p34.2d	ERVLE_1p34.2d	ERVL	ERVL-E-int	ERVL-E-int	
HUERSP3B_1p34.2a	oneside	oneside	chr1	42503189	42509107	-	rmsk	HUERSP3B_1p34.2a	HUERSP3B_1p34.2a	ERV1	LTR9	HUERS-P3b-int	
HUERSP3B_1p34.2b	oneside	oneside	chr1	42509517	42513732	-	rmsk	HUERSP3B_1p34.2b	HUERSP3B_1p34.2b	ERV1	HUERS-P3b-int	HUERS-P3b-int	
ERVLE_1p34.2e	internal	internal	chr1	42593987	42595931	-	rmsk	ERVLE_1p34.2e	ERVLE_1p34.2e	ERVL	ERVL-E-int	ERVL-E-int	
ERVLE_1p34.2f	internal	internal	chr1	42604350	42605878	-	rmsk	ERVLE_1p34.2f	ERVLE_1p34.2f	ERVL	ERVL-E-int	ERVL-E-int	
ERVLE_1p34.2g	internal	internal	chr1	42609550	42610212	-	rmsk	ERVLE_1p34.2g	ERVLE_1p34.2g	ERVL	ERVL-E-int	ERVL-E-int	
HERVH_1p34.2a	prototype	prototype	chr1	42856712	42859884	+	rmsk	HERVH_1p34.2a	HERVH_1p34.2a	ERV1	LTR7C	HERVH-int	
HERVL_1p34.2	oneside	oneside	chr1	42866266	42870243	+	rmsk	HERVL_1p34.2	HERVL_1p34.2	ERVL	HERVL-int	HERVL-int	
